frame,time,id,cls,conf,x1,y1,x2,y2,cx,cy,lane,speed_kmh
179,5.97,56,car,0.46,1269.4,363.1,1350.3,421.7,1309.8,392.4,4,91.3
179,5.97,40,car,0.35,302.4,249.3,371.9,313.7,337.1,281.5,2,90.7
179,5.97,45,car,0.50,1073.1,648.0,1136.7,724.7,1104.9,686.3,8,84.2
180,6.01,57,car,0.51,1167.7,254.8,1236.6,316.9,1202.2,285.8,2,92.0
180,6.01,56,car,0.36,1255.6,362.1,1336.6,423.1,1296.1,392.6,4,90.6
181,6.04,57,car,0.57,1152.3,254.3,1222.4,315.7,1187.3,285.0,2,91.1
181,6.04,40,car,0.33,272.2,249.4,340.5,314.1,306.4,281.7,2,90.7
182,6.07,57,car,0.59,1135.1,256.9,1206.7,314.2,1170.9,285.5,2,92.0
182,6.07,40,car,0.33,256.4,249.7,325.7,314.2,291.0,282.0,2,90.8
182,6.07,45,car,0.35,1121.8,647.2,1184.0,721.4,1152.9,684.3,8,84.9
182,6.07,56,car,0.54,1223.5,362.5,1304.4,423.3,1263.9,392.9,4,91.2
183,6.11,57,car,0.51,1120.8,256.8,1190.2,313.5,1155.5,285.2,2,92.1
183,6.11,45,car,0.41,1136.4,644.4,1195.6,721.9,1166.0,683.2,8,84.8
183,6.11,56,car,0.46,1208.1,361.7,1288.6,422.3,1248.4,392.0,4,91.0
184,6.14,57,car,0.55,1104.9,255.7,1174.8,312.7,1139.8,284.2,2,91.7
184,6.14,56,car,0.52,1194.1,359.8,1272.7,422.2,1233.4,391.0,4,91.2
184,6.14,40,car,0.35,224.4,247.1,293.6,310.1,259.0,278.6,2,90.9
185,6.17,57,car,0.56,1088.1,256.7,1158.9,315.0,1123.5,285.8,2,91.8
185,6.17,56,car,0.61,1180.7,360.8,1258.9,423.4,1219.8,392.1,4,90.4
185,6.17,40,car,0.33,212.6,248.7,277.6,306.8,245.1,277.7,2,90.6
186,6.21,57,car,0.43,1074.9,256.1,1142.9,312.4,1108.9,284.3,2,91.7
186,6.21,56,car,0.31,1163.8,362.1,1242.8,424.8,1203.3,393.5,4,90.3
186,6.21,40,car,0.48,196.5,250.1,262.7,308.1,229.6,279.1,2,90.6
187,6.24,57,car,0.51,1057.4,255.6,1128.1,313.2,1092.8,284.4,2,91.8
187,6.24,56,car,0.43,1146.6,362.5,1228.1,423.9,1187.3,393.2,4,90.9
187,6.24,40,car,0.43,181.4,251.4,248.0,310.4,214.7,280.9,2,90.4
187,6.24,94,car,0.54,417.6,598.6,482.3,653.8,449.9,626.2,7,0.0
187,6.24,96,car,0.52,633.0,661.7,702.7,720.9,667.9,691.3,8,0.0
187,6.24,45,car,0.32,1193.1,647.0,1255.3,721.0,1224.2,684.0,8,84.9
188,6.27,57,car,0.57,1039.7,258.0,1112.2,315.0,1075.9,286.5,2,92.7
188,6.27,56,car,0.55,1131.7,363.8,1212.1,422.7,1171.9,393.2,4,91.4
188,6.27,40,car,0.32,167.0,253.1,232.3,308.5,199.7,280.8,2,90.3
188,6.27,97,car,0.46,206.3,657.5,275.4,705.6,240.9,681.5,8,0.0
189,6.31,57,car,0.52,1026.9,255.8,1095.5,314.7,1061.2,285.3,2,92.6
189,6.31,56,car,0.50,1116.9,363.8,1197.2,423.2,1157.0,393.5,4,90.4
189,6.31,40,car,0.45,150.0,252.0,217.4,310.9,183.7,281.5,2,90.5
189,6.31,97,car,0.38,210.7,657.6,288.9,706.2,249.8,681.9,8,52.7
190,6.34,57,car,0.52,1009.5,255.0,1080.2,313.1,1044.9,284.0,2,92.9
190,6.34,56,car,0.33,1101.4,362.8,1182.5,422.6,1141.9,392.7,4,90.3
190,6.34,40,car,0.51,132.8,249.1,203.1,311.7,168.0,280.4,2,90.0
190,6.34,97,car,0.38,229.3,655.5,303.9,706.8,266.6,681.2,8,75.9
191,6.37,57,car,0.51,993.4,256.7,1065.3,316.0,1029.3,286.4,2,92.9
191,6.37,56,car,0.44,1086.8,362.0,1166.6,422.4,1126.7,392.2,4,90.3
191,6.37,40,car,0.55,119.2,246.8,188.2,313.1,153.7,279.9,2,89.3
191,6.37,97,car,0.35,248.9,652.9,319.3,706.5,284.1,679.7,8,85.1
192,6.41,57,car,0.51,980.6,255.5,1050.4,316.5,1015.5,286.0,2,92.0
192,6.41,40,car,0.56,102.6,250.0,172.6,314.5,137.6,282.3,2,90.3
192,6.41,97,car,0.44,262.0,653.2,334.5,707.0,298.3,680.1,8,84.7
192,6.41,45,car,0.36,1265.6,648.5,1327.1,725.3,1296.3,686.9,8,85.4
193,6.44,57,car,0.52,962.1,255.0,1033.0,314.4,997.6,284.7,2,92.9
193,6.44,40,car,0.55,87.7,251.7,157.1,314.2,122.4,282.9,2,90.3
193,6.44,97,car,0.41,279.6,654.3,347.7,707.0,313.6,680.6,8,85.8
194,6.47,57,car,0.51,947.1,255.5,1017.4,313.5,982.3,284.5,2,93.1
194,6.47,40,car,0.63,72.7,246.2,143.7,313.0,108.2,279.6,2,90.0
195,6.51,57,car,0.56,934.4,256.6,1002.3,310.9,968.4,283.7,2,91.9
195,6.51,40,car,0.44,53.9,245.2,130.2,312.1,92.1,278.7,2,90.3
195,6.51,56,car,0.42,1027.4,364.0,1106.3,423.8,1066.8,393.9,4,89.4
196,6.54,57,car,0.49,917.5,257.0,984.9,311.2,951.2,284.1,2,92.7
196,6.54,40,car,0.37,39.6,245.3,112.5,314.0,76.1,279.6,2,90.6
196,6.54,56,car,0.48,1012.4,363.6,1091.1,424.4,1051.7,394.0,4,89.6
196,6.54,45,car,0.44,1323.8,646.1,1382.5,718.6,1353.2,682.3,8,85.4
196,6.54,97,car,0.32,319.8,659.3,389.2,705.0,354.5,682.2,8,83.8
197,6.57,57,car,0.53,899.4,258.1,969.9,313.2,934.7,285.7,2,93.1
197,6.57,40,car,0.42,26.5,247.1,95.3,315.4,60.9,281.3,2,89.9
198,6.61,57,car,0.52,886.3,258.8,956.0,314.7,921.1,286.7,2,91.8
198,6.61,40,car,0.46,5.4,247.8,80.0,313.3,42.7,280.5,2,91.8
198,6.61,56,car,0.55,981.9,362.3,1059.0,423.4,1020.5,392.9,4,90.3
